Participant;Accuracy;Average first fixation time;Std first dixation time;Average laps time between first fixation and hazard;Std time between first fixation and hazard;Percentage of fixation during hazard;Std of fixation during hazard;Average number of fixations;Std of number of fixations;Average number of detections;Std of number of detections;Percentage of stops
0_Average;85;1.187;1.083;5.264;5.994;53.92;21.998;2.747;1.602;2.494;1.394;11
56;90;0.871;0.697;5.638;3.555;58.45;22.41;3.172;1.84;2.69;1.342;20
54;93;1.648;1.524;4.367;2.24;54.621;26.354;1.9;1.469;1.833;1.368;3
42;90;1.328;1.172;5.048;2.446;58.819;21.249;3.034;1.884;2.655;1.603;20
43;79;0.955;0.812;5.063;2.17;61.647;20.515;3.316;1.489;3.316;1.489;0
60;81;1.177;0.938;5.842;3.192;53.502;26.07;3.038;1.72;1.923;0.917;34
61;82;1.641;1.491;5.529;3.052;58.807;20.326;2.875;1.74;2.125;1.013;33
62;90;0.924;0.724;3.31;1.771;56.984;20.282;2.379;1.4;2.379;1.4;0
63;90;0.862;0.626;4.018;1.775;48.398;18.491;2.25;1.022;2.179;0.966;3
64;87;0.921;0.681;4.607;2.403;41.663;22.495;2.036;1.18;1.857;0.833;7
49;96;0.809;0.563;5.779;3.094;49.455;22.21;3.357;1.836;2.643;1.231;32
66;100;1.682;1.432;4.691;1.838;64.46;21.661;2.531;1.658;2.531;1.658;0
67;87;1.356;0.842;5.621;2.805;48.651;21.501;2.536;1.401;2.25;1.214;21
68;96;1.041;0.809;6.41;2.686;53.349;19.246;4.129;2.012;2.484;1.292;64
69;81;1.6;1.476;3.712;2.03;60.149;20.506;2.538;1.447;2.154;1.133;15
52;78;1.044;0.588;4.744;1.939;54.813;17.345;2.88;1.243;2.88;1.243;0
24;81;1.062;0.801;4.581;2.179;51.349;21.176;2.269;1.162;2.269;1.162;0
25;71;0.763;0.487;9.987;24.553;39.74;18.604;2.565;1.21;2.565;1.21;0
27;84;0.896;0.602;3.922;2.428;56.229;21.959;2.444;1.315;2.407;1.284;3
20;65;0.966;0.742;9.7;25.576;43.116;19.992;2.143;0.888;2.143;0.888;0
21;80;1.145;0.657;3.525;2.2;56.858;18.819;2.0;1.342;2.0;1.342;0
22;92;1.235;1.237;5.552;2.404;57.446;23.946;2.783;1.614;2.565;1.409;17
23;68;1.065;0.906;4.25;1.59;54.224;19.077;2.682;1.394;2.682;1.394;0
46;95;1.267;1.819;4.783;2.407;61.39;21.638;2.783;1.693;2.478;1.314;21
47;95;1.108;0.826;4.183;2.048;56.908;27.688;2.348;1.088;2.087;1.018;8
44;100;0.732;0.647;6.855;2.212;47.816;21.092;4.4;1.772;4.1;1.729;15
45;83;1.133;0.843;4.36;1.817;59.998;20.946;3.05;1.499;2.95;1.431;10
28;81;1.351;1.079;4.215;2.14;45.656;20.66;1.731;0.983;1.731;0.983;0
29;78;1.459;0.975;4.84;2.27;57.639;19.217;1.88;0.652;1.88;0.652;0
40;96;1.07;1.362;5.994;2.887;55.918;17.514;3.677;1.856;2.839;1.505;41
41;81;0.987;0.82;3.765;2.329;47.398;20.249;1.962;0.854;1.962;0.854;0
2;81;1.557;1.183;5.888;3.259;52.467;21.641;2.654;1.753;2.269;1.317;15
5;93;1.449;1.522;5.232;2.937;57.718;25.363;2.75;1.573;2.536;1.349;14
4;78;1.415;1.033;5.528;2.595;49.795;22.162;2.96;1.509;2.44;1.235;24
7;84;0.992;0.649;5.53;2.817;48.226;18.709;3.037;1.644;3.0;1.61;3
6;96;1.39;1.416;5.829;3.267;58.238;24.992;3.097;1.711;2.581;1.498;19
9;78;0.99;0.79;4.02;1.738;52.368;19.745;2.92;1.354;2.84;1.405;4
8;84;0.875;0.638;5.493;2.573;55.498;19.164;3.63;1.808;3.259;1.817;14
39;87;1.083;0.859;4.668;2.578;51.011;18.786;2.5;1.052;2.5;1.052;0
65;93;1.307;0.981;6.407;4.039;53.034;20.536;2.9;1.491;2.733;1.459;10
38;84;1.665;1.467;5.5;2.628;52.367;22.613;2.63;1.567;2.37;1.418;14
71;87;1.005;0.778;5.05;2.771;50.603;21.43;3.0;1.535;2.893;1.543;7
70;75;0.888;0.734;4.467;2.018;37.113;17.792;2.583;1.47;2.583;1.47;0
59;90;1.025;0.988;4.645;3.377;51.061;20.086;2.586;1.474;2.586;1.474;0
58;90;1.017;0.993;4.807;3.375;58.969;21.826;3.31;1.578;2.862;1.224;17
11;79;1.545;1.448;5.616;2.809;59.91;17.612;3.211;1.436;3.105;1.447;5
13;90;0.968;0.804;9.469;22.378;52.312;17.96;3.207;1.606;3.0;1.438;6
12;90;0.88;0.516;6.255;11.599;57.13;21.239;2.793;1.447;2.759;1.454;3
15;100;1.569;1.41;4.694;2.126;60.472;20.646;2.5;1.299;2.438;1.223;3
14;78;1.088;0.749;3.688;1.752;59.494;17.353;2.08;1.093;2.08;1.093;0
17;81;1.207;0.947;4.119;1.39;53.061;25.407;2.0;0.92;2.0;0.92;0
16;87;1.651;1.31;6.5;3.022;61.265;16.795;3.393;1.739;2.857;1.457;32
33;87;1.463;1.062;4.029;2.252;70.963;23.494;1.786;0.939;1.786;0.939;0
18;81;0.935;0.596;7.081;5.888;49.689;21.419;3.308;1.814;2.769;1.31;19
31;84;1.729;1.763;5.948;2.721;47.355;22.343;2.222;1.227;1.889;0.831;14
30;93;0.981;1.021;6.22;3.569;47.998;21.004;3.233;2.14;2.633;1.683;23
51;87;1.253;0.79;4.071;1.742;62.714;23.913;2.536;1.592;2.536;1.592;0
36;87;0.871;0.753;5.211;2.576;49.538;17.546;3.464;1.721;2.893;1.52;28
53;84;0.771;0.622;4.019;2.032;54.61;17.914;2.889;1.663;2.889;1.663;0
34;90;0.755;0.723;6.755;3.399;36.033;17.434;3.621;1.75;3.069;1.337;31
55;68;1.233;1.08;4.264;1.864;53.369;21.402;2.091;1.203;2.091;1.203;0
48;84;1.558;1.32;4.904;1.95;60.807;22.836;2.704;1.559;2.63;1.519;7
57;96;1.978;1.551;5.687;2.603;57.049;17.893;1.935;0.948;1.806;0.93;9
50;81;1.213;1.049;5.131;2.5;56.383;23.185;2.654;1.663;2.308;1.563;15
